State,Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability,Category,Start_Hour
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8623,RAJDHANI (AC SEMI SLEEPER 2+2),16:10,03h 10m,19:20,3.9,0.0,27 Seats available,A/C,16.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 34331,LAHARI A/C SLEEPER CUM SEATER,16:20,03h 30m,19:50,1.8,0.0,11 Seats available,A/C,16.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8657,RAJDHANI (AC SEMI SLEEPER 2+2),17:00,03h 20m,20:20,3.7,0.0,29 Seats available,A/C,17.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1319,LAHARI A/C SLEEPER CUM SEATER,17:10,03h 35m,20:45,3.4,0.0,22 Seats available,A/C,17.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8613,SUPER LUXURY (NON AC SEATER 2+2 PUSH BACK),17:20,04h 10m,21:30,3.9,0.0,30 Seats available,Non-A/C,17.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8675,RAJDHANI (A.C. SEMI SLEEPER),17:30,04h 00m,21:30,3.9,0.0,35 Seats available,Non-A/C,17.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64089,RAJDHANI (AC SEMI SLEEPER 2+2),18:00,03h 20m,21:20,3.3,0.0,31 Seats available,A/C,18.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 1952,RAJDHANI (AC SEMI SLEEPER 2+2),18:10,03h 35m,21:45,3.6,0.0,25 Seats available,A/C,18.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8822,SUPER LUXURY (NON AC SEATER 2+2 PUSH BACK),18:15,03h 45m,22:00,3.4,0.0,31 Seats available,Non-A/C,18.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 4172,RAJDHANI (AC SEMI SLEEPER 2+2),18:30,04h 00m,22:30,3.3,0.0,25 Seats available,A/C,18.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 64022,RAJDHANI (AC SEMI SLEEPER 2+2),19:00,03h 30m,22:30,3.1,0.0,30 Seats available,A/C,19.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8677,SUPER LUXURY (NON AC SEATER 2+2 PUSH BACK),19:30,04h 10m,23:40,3.5,0.0,31 Seats available,Non-A/C,19.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8625,RAJDHANI (A.C. SEMI SLEEPER),21:00,04h 00m,01:00,3.6,0.0,33 Seats available,Non-A/C,21.0
Telangana,Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TGSRTC - 8619,RAJDHANI (AC SEMI SLEEPER 2+2),22:00,04h 00m,02:00,3.7,0.0,27 Seats available,A/C,22.0
